video_no, Sno, Title                                                                                         , Youtube Links                              , category                     , priority, recommendation                          , isWatched
       3,   3, How to Install Flutter in Windows? - Flutter Installation Tutorial                            , https://www.youtube.com/watch?v=BqHOtlh3Dd4, Setup & Tools                ,        1, Watch Now (high priority), True
       4,   4, Flutter Installation in MAC OS - Complete Tutorial.                                           , https://www.youtube.com/watch?v=VPoqbBXzGtA, Setup & Tools                ,        1, Watch Now (high priority), True
       5,   5, Android Studio Setup करे सिर्फ 15 Minutes में? | Install Android Studio on MacOS                  , https://www.youtube.com/watch?v=SR-AB3RJWbg, Setup & Tools                ,        1, Watch Now (high priority), True
       6,   6, VS CODE INSTALLATION 👉 Download & Install Visual Studio Code on Mac OS                       , https://www.youtube.com/watch?v=p91tt2AwUjM, Setup & Tools                ,        1, Watch Now (high priority), True
       7,   7, XCode Installation: How to Install XCode on MacOS - Complete Setup                            , https://www.youtube.com/watch?v=YOHFxBaPGQU, Setup & Tools                ,        1, Watch Now (high priority), True
       8,   8, FLUTTER PROJECT ✅: How to Create a New Flutter Project | Flutter Beginners Tutorial           , https://www.youtube.com/watch?v=B3MoTP3veBk, Setup & Tools                ,        1, Watch Now (high priority), True
       9,   9, How to Create a New Flutter Project in VS CODE - Complete Guide                               , https://www.youtube.com/watch?v=_qkywk2VeHU, Setup & Tools                ,        1, Watch Now (high priority), True
      10,  10, Generated Files and Folders - Complete Overview | Flutter Tutorial                            , https://www.youtube.com/watch?v=JzzBYI2LhLI, Setup & Tools                ,        1, Watch Now (high priority), True
      12,  12, Flutter Tutorial: How to Run an Android App on an Emulator - Complete Tutorial                , https://www.youtube.com/watch?v=nsdW6s3FqUY, Setup & Tools                ,        1, Watch Now (high priority), True
      13,  13, How to Run and Test Flutter App on a Real Android Device? | Flutter Tutorial                  , https://www.youtube.com/watch?v=fhDvSbcoM0Y, Setup & Tools                ,        1, Watch Now (high priority), True
      14,  14, Flutter Tutorial: Running the App on an iOS Emulator | iOS Emulator Par App Kaise Chalaye?    , https://www.youtube.com/watch?v=slopYVjSnMQ, Setup & Tools                ,        1, Watch Now (high priority), True
      15,  15, Flutter Tutorial: Running the App on Web Browser | Web Browser पर App कैसे चलाये?                , https://www.youtube.com/watch?v=xxz-v58i7g4, Setup & Tools                ,        1, Watch Now (high priority), True
      16,  16, How to Run the App on macOS🔥 | Flutter Tutorial                                              , https://www.youtube.com/watch?v=CWoIIr8KL_s, Setup & Tools                ,        1, Watch Now (high priority), True
      17,  17, Step by Step Guide to Running Flutter App on Windows🔥                                        , https://www.youtube.com/watch?v=vh6Rlka8sOM, Setup & Tools                ,        1, Watch Now (high priority), True
      38,  38, "Flutter Installation: Windows,  Android Studio on VSCode & XCode - Complete Tutorial"        , https://www.youtube.com/watch?v=b_YcmSnx8eY, Setup & Tools                ,        1, Watch Now (high priority), True
       2,   2, What is Flutter Architecture? [HINDI] - Complete Tutorial                                     , https://www.youtube.com/watch?v=PKDWinlLfAo, Architecture / Concepts      ,        2, Watch Now (high priority), True
      29,  29, Flutter Widgets: What is Container & How to Use it in Flutter?                                , https://www.youtube.com/watch?v=_R4Pr3tR0uY, Widgets & Layouts            ,        3, Watch Now (high priority), True
      30,  30, Flutter Widgets: What is the Center Widget-Explained                                          , https://www.youtube.com/watch?v=ATMuWZCu1kA, Widgets & Layouts            ,        3, Watch Now (high priority), True
      31,  31, Flutter Widgets: Flutter Text and its Styles Widgets | Complete Guide [Hindi]                 , https://www.youtube.com/watch?v=TEbSg0-L2ok, Widgets & Layouts            ,        3, Watch Now (high priority), True
      32,  32, All Types of Button in Flutter - Complete Tutorial                                            , https://www.youtube.com/watch?v=63IReaxPxhs, Widgets & Layouts            ,        3, Watch Now (high priority), True
      33,  33, Flutter: How to Add Image in App - Complete Guide [Hindi]                                     , https://www.youtube.com/watch?v=GjuFaVk4mSs, Widgets & Layouts            ,        3, Watch Now (high priority), True
      34,  34, What are Rows and Columns with Examples? | Flutter Widgets Tutorial                           , https://www.youtube.com/watch?v=YhOSXAAPcsA, Widgets & Layouts            ,        3, Watch Now (high priority), True
      35,  35, What is InkWell Widget & Its Importance in Flutter [Hindi]                                    , https://www.youtube.com/watch?v=OwApCJUe-8o, Widgets & Layouts            ,        3, Watch Now (high priority), True
      36,  36, Flutter ScrollView Widgets & Its Types-Complete Tutorial [Hindi]                              , https://www.youtube.com/watch?v=T5M8qAJDHQU, Widgets & Layouts            ,        3, Watch Now (high priority), True
      37,  37, What is ListView and its Components in Flutter | Flutter Widgets [Hindi]                      , https://www.youtube.com/watch?v=z323YS-UDr4, Dart (skip — already learned),       3, Watch Now (high priority), True
      39,  39, What is the Use of main.dart in Flutter & What does it contain? | Flutter Tutorials           , https://www.youtube.com/watch?v=G16nLcpOLz0, Dart (skip — already learned),       3, Watch Now (high priority), True
      43,  43, What is Flutter ListTile and How its Included in ListView Builder                             , https://www.youtube.com/watch?v=xuyrIVEFNf0, Dart (skip — already learned),       3, Watch Now (high priority), True
      53,  53, What is Callback Function & How to Implement in Flutter Application🔥                         , https://www.youtube.com/watch?v=wa6ZtSRfI0w, Dart (skip — already learned),       3, Watch Now (high priority), True
      75,  75, Flutter ListWheel ScrollView Widget Tutorial (Widget of the Week)                             , https://www.youtube.com/watch?v=4_NDWUGDZRQ, Not Needed                   ,       3, Watch Now (high priority), True
      78,  78, Mapping Lists to Widget - Explained | Flutter Tutorial🔥                                      , https://www.youtube.com/watch?v=GDB_zYFd0MA, Dart (skip — already learned),       3, Watch Now (high priority), True
      40,  40, How to Add Decoration to Container in Flutter - Explained [Hindi]                             , https://www.youtube.com/watch?v=5hluA7fJzkk, Widgets & Layouts            ,        3, Watch Now (high priority)
      41,  41, What are Expanded Widgets in Flutter | Flutter Widgets Tutorial [Hindi]                       , https://www.youtube.com/watch?v=etySPsyYKsc, Widgets & Layouts            ,        3, Watch Now (high priority)
      42,  42, How to Add Padding/Margin on Text Widget in Flutter - Complete Tutorial                       , https://www.youtube.com/watch?v=B61Cp1HcchI, Widgets & Layouts            ,        3, Watch Now (high priority)
      44,  44, Flutter Circle Avatar क्या है? | Flutter Widgets Tutorial                                       , https://www.youtube.com/watch?v=8-hXkJRNq9s, Widgets & Layouts            ,        3, Watch Now (high priority)
      45,  45, How to Add Custom Font Over Text? | Flutter Widgets Tutorial [Hindi]                          , https://www.youtube.com/watch?v=4Hm80CjOEWU, Widgets & Layouts            ,        3, Watch Now (high priority)
      46,  46, Flutter Styles and Themes - Explained | Flutter Widgets Tutorial                              , https://www.youtube.com/watch?v=e9YBnPNKEAY, Widgets & Layouts            ,        3, Watch Now (high priority)
      48,  48, How to Get User Input in Flutter Application (TextField) | Flutter Widget                     , https://www.youtube.com/watch?v=BpN5f_747pI, Widgets & Layouts            ,        3, Watch Now (high priority)
      51,  51, Flutter Date Picker Tutorial [Hindi] | Flutter Widgets🔥                                      , https://www.youtube.com/watch?v=UIpTwzJ-TTU, Widgets & Layouts            ,        3, Watch Now (high priority)
      52,  52, Flutter GridView - How to Use Grid Layout? | Flutter Widget Tutorial                          , https://www.youtube.com/watch?v=UsFq21gYn5Q, Widgets & Layouts            ,        3, Watch Now (high priority)
      58,  58, What are SizedBox Widgets in Flutter | Flutter Widgets Tutorial [Hindi]                       , https://www.youtube.com/watch?v=-AHYS_fW-ow, Widgets & Layouts            ,        3, Watch Now (high priority)
      59,  59, Rich Text Widget Tutorial in Flutter [Hindi]                                                  , https://www.youtube.com/watch?v=J248xKjnmck, Widgets & Layouts            ,        3, Watch Now (high priority)
      63,  63, Flutter Stateless and Stateful Widgets - Complete Tutorial [Hindi] 😮🔥                       , https://www.youtube.com/watch?v=h46lrbg8qUg, Widgets & Layouts            ,        3, Watch Now (high priority)
      64,  64, Updating Correctly with Stateful Widgets | Flutter Widget Tutorial🔥                          , https://www.youtube.com/watch?v=4TnI5JarxGs, Widgets & Layouts            ,        3, Watch Now (high priority)
      69,  69, How to Add a Flutter Range Slider in 10 Minutes | Flutter Widgets Tutorial                    , https://www.youtube.com/watch?v=Wk0fau-CPas, Widgets & Layouts            ,        3, Watch Now (high priority)
      71,  71, How to Animate Containers in Flutter? - App Animation Effect                                  , https://www.youtube.com/watch?v=TAjgdAsHCaU, Widgets & Layouts            ,        3, Watch Now (high priority)
      85,  85, Flutter State Management Full Course in 2 Hours (All Topics Covered) - Updated 2025           , https://www.youtube.com/watch?v=EFSFfEtznmU, State Management             ,        5, Watch Now (high priority)
       1,   1, What is Flutter? & How it is Better than it's Counterparts? - Cross Platform | Full Tutorial  , https://www.youtube.com/watch?v=jqxz7QvdWk8, Forms & Inputs               ,        6, Watch Soon (medium priority)
      50,  50, Flutter DateFormat: How to Format a Date? | Complete Tutorial [Hindi]                         , https://www.youtube.com/watch?v=PtNOp4MQ32g, Forms & Inputs               ,        6, Watch Soon (medium priority)
      84,  84, Flutter Database Course: How to Save Data Locally Using SQLite in Flutter [Practical Guide]   , https://www.youtube.com/watch?v=MWmtbZQKCGY, Local Storage / DB           ,        8, Watch Soon (medium priority)
      72,  72, Flutter Animated Opacity Widget Tutorial🔥                                                    , https://www.youtube.com/watch?v=1xdC7a6Lmww, Animations                   ,       10, Watch Later (low priority)
      73,  73, Flutter Animated Cross Fade Widget Tutorial (Widget of the Week)                              , https://www.youtube.com/watch?v=mEUONqQIzC0, Animations                   ,       10, Watch Later (low priority)
      74,  74, Hero Animation Widget Tutorial for Beginners | Flutter Animation 😮🔥                         , https://www.youtube.com/watch?v=ZbVoHGpVEPE, Animations                   ,       10, Watch Later (low priority)
      79,  79, Flutter Tween Animation - Explained | Animation Complete Tutorial 😮🔥                        , https://www.youtube.com/watch?v=esp-vyw040w, Animations                   ,       10, Watch Later (low priority)
      80,  80, Flutter Ripple Animation Effects Tutorial For Beginners 🔥                                    , https://www.youtube.com/watch?v=VISoK50eKvM, Animations                   ,       10, Watch Later (low priority)
      11,  11, Create an Android Virtual Device for Flutter Application🔥                                    , https://www.youtube.com/watch?v=tB1sjfijupU, Misc / Other                 ,       12, Optional / Skip
      47,  47, Flutter Card Widget - Explained [Hindi]                                                       , https://www.youtube.com/watch?v=2lO0EpHP5Zg, Misc / Other                 ,       12, Optional / Skip
      49,  49, How to Get Current Date & Time in Flutter Application?                                        , https://www.youtube.com/watch?v=Q80ge-0mUGs, Misc / Other                 ,       12, Optional / Skip
      54,  54, Flutter Tutorial: Splitting the App into Widget | Complete Tutorial🔥                         , https://www.youtube.com/watch?v=Fdm9USwhiWk, Misc / Other                 ,       12, Optional / Skip
      55,  55, Flutter Stack Widget | Complete Tutorial🔥😯                                                  , https://www.youtube.com/watch?v=jJGJCb0lVIc, Misc / Other                 ,       12, Optional / Skip
      56,  56, Creating a Custom Widget in Flutter - Complete Tutorial                                       , https://www.youtube.com/watch?v=HuD3Yx_QdCY, Misc / Other                 ,       12, Optional / Skip
